Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,elevation_zone,near_threshold,distance_to_nearest_threshold,chaos_amplification_factor,aspect_sin,aspect_cos,Soil_Type13,Soil_Type3,Soil_Type6,Soil_Group_Other,Soil_Type2,Soil_Group_Organic,Soil_Type30,Soil_Type29,Soil_Type33,Soil_Type10,Soil_Type12,Soil_Group_Rocky,Soil_Group_Sandy,Soil_Group_Clay,Soil_Type23,Soil_Type1,Soil_Type17,Cover_Type
1,2596,51,3,258,0,510,221,232,148,6279,1,0,0,0,Montane,False,196.0,1.0,0.7771459614569709,0.6293203910498375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
2,2590,56,2,212,-6,390,220,235,151,6225,1,0,0,0,Montane,False,190.0,1.0,0.8290375725550417,0.5591929034707468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
3,2804,139,9,268,65,3180,234,238,135,6121,1,0,0,0,Subalpine,True,4.0,2.0,0.6560590289905073,-0.754709580222772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
4,2785,155,18,242,118,3090,238,238,122,6211,1,0,0,0,Montane,True,15.0,2.0,0.4226182617406995,-0.9063077870366499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
5,2595,45,2,153,-1,391,220,234,150,6172,1,0,0,0,Montane,False,195.0,1.0,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
6,2579,132,6,300,-15,67,230,237,140,6031,1,0,0,0,Montane,False,179.0,1.0,0.7431448254773942,-0.6691306063588582,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
7,2606,45,7,270,5,633,222,225,138,6256,1,0,0,0,Montane,False,194.0,1.0,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
8,2605,49,4,234,7,573,222,230,144,6228,1,0,0,0,Montane,False,195.0,1.0,0.754709580222772,0.6560590289905073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
9,2617,45,9,240,56,666,223,221,133,6244,1,0,0,0,Montane,False,183.0,1.0,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
10,2612,59,10,247,11,636,228,219,124,6230,1,0,0,0,Montane,False,188.0,1.0,0.8571673007021123,0.5150380749100542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
11,2612,201,4,180,51,735,218,243,161,6222,1,0,0,0,Montane,False,188.0,1.0,-0.35836794954530043,-0.9335804264972017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
12,2886,151,11,371,26,5253,234,240,136,4051,1,0,0,0,Subalpine,False,86.0,1.0,0.48480962024633717,-0.8746197071393957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
13,2742,134,22,150,69,3215,248,224,92,6091,1,0,0,0,Montane,False,58.0,1.0,0.7193398003386511,-0.6946583704589974,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
14,2609,214,7,150,46,771,213,247,170,6211,1,0,0,0,Montane,False,191.0,1.0,-0.5591929034707467,-0.8290375725550417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
15,2503,157,4,67,4,674,224,240,151,5600,1,0,0,0,Montane,False,103.0,1.0,0.39073112848927377,-0.9205048534524404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
16,2495,51,7,42,2,752,224,225,137,5576,1,0,0,0,Montane,False,95.0,1.0,0.7771459614569709,0.6293203910498375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
17,2610,259,1,120,-1,607,216,239,161,6096,1,0,0,0,Montane,False,190.0,1.0,-0.981627183447664,-0.1908089953765446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
18,2517,72,7,85,6,595,228,227,133,5607,1,0,0,0,Montane,False,117.0,1.0,0.9510565162951535,0.30901699437494745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
19,2504,0,4,95,5,691,214,232,156,5572,1,0,0,0,Montane,False,104.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
20,2503,38,5,85,10,741,220,228,144,5555,1,0,0,0,Montane,False,103.0,1.0,0.6156614753256583,0.7880107536067219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
21,2501,71,9,60,8,767,230,223,126,5547,1,0,0,0,Montane,False,101.0,1.0,0.9455185755993167,0.32556815445715676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
22,2880,209,17,216,30,4986,206,253,179,4323,1,0,0,0,Subalpine,False,80.0,1.0,-0.48480962024633695,-0.8746197071393959,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
23,2768,114,23,192,82,3339,252,209,71,5972,1,0,0,0,Montane,True,32.0,2.0,0.9135454576426009,-0.40673664307580026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
24,2511,54,8,124,0,638,225,222,130,5569,1,0,0,0,Montane,False,111.0,1.0,0.8090169943749475,0.5877852522924731,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
